camera,frame,component,is_reference,delta_norm,affine_init_a,affine_init_b,affine_init_c,affine_init_d,affine_init_e,affine_init_f,affine_init_g,affine_init_h,projective_final_a,projective_final_b,projective_final_c,projective_final_d,projective_final_e,projective_final_f,projective_final_g,projective_final_h
left,5,0,False,912.7857817005086,0.7596955894584261,-0.11086620637026676,565.1106334093283,0.11086620637026676,0.7596955894584261,-1662.3877519744865,0.0,0.0,1.0212272256535542,-0.04948608836789607,63.912899404856574,0.09108216428924525,0.9939407371098236,-2425.262962788731,-1.348652889285285e-06,-1.5782772315675682e-05
right,5,0,False,903.0250112158997,0.7610625582281566,-0.11138285169125617,581.7053332820556,0.11138285169125617,0.7610625582281566,-1664.23541905509,0.0,0.0,1.016679895488401,-0.04923312732687974,87.65566961638169,0.09476157381243118,0.9909328264641716,-2420.124946958402,-3.883541256227875e-06,-1.546270656513873e-05
left,6,0,False,1092.9410847416857,0.7328734317383692,-0.07085074510643606,618.0531141933265,0.07085074510643606,0.7328734317383692,-1871.047266696864,0.0,0.0,0.9527728610930355,-0.09378025098846413,135.25121864122136,0.15037756377019726,0.9948944479591212,-2851.568771053895,-1.5325641508911255e-05,-4.789274663567855e-05
right,6,0,False,1114.3787174324307,0.7170900256241189,-0.07632096871983281,658.5954101443282,0.07632096871983281,0.7170900256241189,-1864.9720686866615,0.0,0.0,0.9608982965352169,-0.09848162047477867,159.15167443475477,0.14625144339470764,1.0007084780411761,-2861.162680700019,-1.1005798463916732e-05,-4.73055385843271e-05
left,7,0,False,1217.0589056467336,0.7194778575558866,-0.0736822679458184,662.900094167213,0.0736822679458184,0.7194778575558866,-2157.9678326947865,0.0,0.0,0.9561153615478162,-0.08656248691087337,143.86791576963512,0.16574416631244684,0.980582081621946,-3258.80289971794,-1.5771105244364007e-05,-3.65768254566125e-05
right,7,0,False,1243.6320818004235,0.7093110827427385,-0.07464227061802886,697.554998791598,0.07464227061802886,0.7093110827427385,-2147.616194366408,0.0,0.0,0.966835817282252,-0.08177463438740595,152.6425038277775,0.16827130317373373,0.9750972498531455,-3265.5119774951468,-1.500363595605858e-05,-3.277789333231965e-05
left,8,0,False,1327.4732790334433,0.731291116741143,-0.08217406821825506,686.2603191063444,0.08217406821825506,0.731291116741143,-2480.1072310647087,0.0,0.0,0.984965401321466,-0.06601335364593483,111.02247825926973,0.17900698329207848,0.9755788437356738,-3676.471138636514,-1.8242901094564534e-05,-2.0918024434106887e-05
right,8,0,False,1333.6443622137936,0.7275162967814754,-0.08238435688504557,708.9549104925883,0.08238435688504557,0.7275162967814754,-2475.733757868346,0.0,0.0,0.9868598898205332,-0.0660922798724507,129.5930275390481,0.17948407827777782,0.9777326701166352,-3676.9610277403062,-1.74616772139333e-05,-2.223350913071104e-05
left,9,0,False,1449.3172195379336,0.7259393738822072,-0.0824678509847996,729.9193392026676,0.0824678509847996,0.7259393738822072,-2750.2548226075173,0.0,0.0,0.9915202005283141,-0.09483475063538856,131.80837872858984,0.1973391087464127,0.9957408979891837,-4070.4000892867407,-1.5371678696537063e-05,-3.0919958704834724e-05
right,9,0,False,1444.280877205917,0.727822703191436,-0.08344974525177283,742.0317532121696,0.08344974525177283,0.727822703191436,-2753.0624591153974,0.0,0.0,1.0005206826056996,-0.09179106769563043,148.6674047117072,0.18651734009793544,0.9999699879157636,-4069.8258558843363,-1.2824274518772517e-05,-2.9241050453025228e-05
left,10,0,False,1545.762701110639,0.7124065394983456,-0.08911084686358713,791.6266717964058,0.08911084686358713,0.7124065394983456,-3045.8969846633017,0.0,0.0,0.9944137063064754,-0.10474733624168503,164.3939182981747,0.19178988860207416,0.9964346435339688,-4458.681904633922,-8.72205343494204e-06,-3.497002490271466e-05
right,10,0,False,1542.5019029680677,0.7129754758647374,-0.08943623591934544,806.3846656025847,0.08943623591934544,0.7129754758647374,-3044.8401698867337,0.0,0.0,0.9938887468889306,-0.10476951164133542,186.26329014454004,0.19339846632707694,0.9967528615887139,-4457.200403635548,-8.859360683416888e-06,-3.5009881921636424e-05
left,11,0,False,1610.9032933986819,0.7045556485664568,-0.10128710688045235,846.9567626510993,0.10128710688045235,0.7045556485664568,-3346.222948516859,0.0,0.0,0.9702721158547783,-0.10726996112684642,212.05536917260721,0.21028969962985067,0.9906791988621714,-4826.732819085948,-7.830092229730692e-06,-3.856157628727361e-05
right,11,0,False,1604.9458528604275,0.7079776912502319,-0.10031290623584259,856.2775026091193,0.10031290623584259,0.7079776912502319,-3342.4062327724646,0.0,0.0,0.967191683509108,-0.10815096690432377,233.54955301754742,0.21490967127302732,0.9916029712555907,-4821.615795539794,-9.043224458787372e-06,-3.915410972429572e-05
left,12,0,False,1632.5817535965102,0.7030771355242607,-0.11240080558866125,898.8416286482802,0.11240080558866125,0.7030771355242607,-3636.4344942449516,0.0,0.0,0.9088399566733326,-0.1279773490958923,296.3360652018509,0.260833538744328,0.9947900731821495,-5153.771002236067,-1.495675900627584e-05,-5.059274805994184e-05
right,12,0,False,1636.1406318860672,0.702029300742189,-0.11415378517045686,920.0881108907695,0.11415378517045686,0.702029300742189,-3631.2086460740325,0.0,0.0,0.9099052513352076,-0.12791781592795326,315.39132810356386,0.26206991300377774,0.9942965686247548,-5151.503952089986,-1.5089335297744108e-05,-5.025214233257645e-05
left,13,0,False,1787.220480073223,0.035094778660742385,-0.658920101567584,2507.4096724610918,0.658920101567584,0.035094778660742385,-3750.4675353961748,0.0,0.0,0.11377828590218074,-0.7790069358549919,2231.881949155148,1.1393392243717533,0.09709841352450146,-5516.32179405516,-4.3511358563972856e-05,-1.5677105841437603e-05
right,13,0,False,1785.0218047504666,0.03360231397241843,-0.6615039808104072,2512.1326222243474,0.6615039808104072,0.03360231397241843,-3736.1966765236716,0.0,0.0,0.11181052509739295,-0.7770483483283105,2237.1451482482844,1.1460573592890024,0.09082886117307479,-5499.909939800045,-4.458915581355891e-05,-1.3886213657380375e-05
left,14,0,False,1700.191319260999,-0.11969964219051582,-0.6500764708841451,2927.1093882495293,0.6500764708841451,-0.11969964219051582,-3551.299173691916,0.0,0.0,-0.1255712538044118,-0.7746282676075723,2837.2910270184743,1.135604732528655,-0.12356283557430507,-5249.116281856391,-4.720413626806856e-05,-9.764178295624577e-06
right,14,0,False,1691.449828825176,-0.11694317449477598,-0.6471553626390601,2917.9118184816916,0.6471553626390601,-0.11694317449477598,-3538.697328913972,0.0,0.0,-0.12093488856722057,-0.7815924298717729,2840.537267740421,1.1250499052184655,-0.11314433360051593,-5228.376427394928,-4.440686206867171e-05,-1.2427036798673209e-05
left,15,0,False,1108.496031734543,-0.6747026047439164,-0.07028770700482545,3160.818711566542,0.07028770700482545,-0.6747026047439164,-2099.590998053837,0.0,0.0,-1.0037072478309044,-0.09505360314717007,3625.683313912996,0.11697709519164856,-0.9998005290768618,-3105.903145019448,-1.9075939764413155e-05,3.157969685184557e-05
right,15,0,False,1108.060923467384,-0.671815209127072,-0.07287128665914137,3145.1922378479826,0.07287128665914137,-0.671815209127072,-2099.9988381740413,0.0,0.0,-1.0043521423956838,-0.10104246449091259,3598.822460303497,0.13109044654476543,-0.9881771975210077,-3110.9481032420495,-2.191827353679229e-05,2.9083960661209415e-05
left,16,0,False,947.9669572592423,-0.6804395681242563,0.102782996727783,2968.7584493171516,-0.102782996727783,-0.6804395681242563,-1556.7418442050337,0.0,0.0,-1.0247306901137454,0.11851874572487332,3468.881621200457,-0.176157932525284,-1.0041607777667236,-2362.0479574547926,-8.455656491269666e-06,3.25749529757962e-05
right,16,0,False,943.0409643896744,-0.6793348475192282,0.1009248844307359,2954.156668628259,-0.1009248844307359,-0.6793348475192282,-1562.2798979080171,0.0,0.0,-1.023974038039378,0.11881600993434575,3446.702502396798,-0.1787820943300926,-1.0028724401176776,-2366.4718105256943,-7.742346276173723e-06,3.2184120103845315e-05
left,17,0,False,882.6960708541859,-0.6877582524762488,0.09654417921980636,2943.154839966351,-0.09654417921980636,-0.6877582524762488,-1241.0295724361656,0.0,0.0,-1.0409590249034728,0.13045551878137102,3463.316127881627,-0.15038152954477804,-1.0237296397492432,-1954.180570738587,-1.1306192324922479e-05,3.460905663175295e-05
right,17,0,False,880.8758609233438,-0.6866788958301747,0.09678690348314722,2927.3214480256966,-0.09678690348314722,-0.6866788958301747,-1244.4327970222348,0.0,0.0,-1.0419033607131714,0.12888139838203616,3439.533131446632,-0.1436391452081112,-1.0217403100467335,-1961.078617528272,-1.3211234907553868e-05,3.4528239876944716e-05
left,18,0,False,824.5184167222985,-0.6968632770221164,0.09037292302172831,2924.7774634979883,-0.09037292302172831,-0.6968632770221164,-960.7532171512279,0.0,0.0,-1.046244396352578,0.12773591579651017,3453.9439797933082,-0.1291103825495387,-1.0193064177658167,-1593.0610445682148,-1.333568800167887e-05,3.264871466572406e-05
right,18,0,False,820.60083010038,-0.6961692301814574,0.0905046350310944,2909.7219265087188,-0.0905046350310944,-0.6961692301814574,-964.6637757103318,0.0,0.0,-1.0495594450862338,0.1297521670162373,3432.6412657893984,-0.12649795785328213,-1.0206081906186044,-1597.0725469860927,-1.4715785244231184e-05,3.36366226820169e-05
left,19,0,False,772.8322436688633,-0.695832823770772,0.08740651959457013,2902.977007475477,-0.08740651959457013,-0.695832823770772,-723.0478506906219,0.0,0.0,-1.038273905139782,0.10816773407694487,3445.6714363761166,-0.13230432021065988,-0.9955129962708236,-1273.2770976173158,-1.0670358728020726e-05,2.5663283195147056e-05
right,19,0,False,774.3214278506177,-0.6970332490813604,0.08852054889698499,2889.9967837906456,-0.08852054889698499,-0.6970332490813604,-723.536099671822,0.0,0.0,-1.045057506654348,0.10684502258846315,3422.0946672178916,-0.119077182865917,-0.9884116833116227,-1286.0708175240568,-1.550520109108429e-05,2.5188037237228566e-05
left,20,0,False,726.296061611101,-0.6936016865811446,0.0829209790830201,2881.9661218077135,-0.0829209790830201,-0.6936016865811446,-444.59464431577095,0.0,0.0,-1.0299958925837336,0.1226760046927974,3475.0907962201195,-0.16266715979039656,-1.0318293009888841,-863.7710441954349,3.0096921636369783e-06,3.596105431548273e-05
right,20,0,False,714.8347339751303,-0.6862245460625784,0.0850922728849576,2853.737362439355,-0.0850922728849576,-0.6862245460625784,-450.50028915201307,0.0,0.0,-1.023627611751037,0.1070010578976814,3421.179860055552,-0.14489483156235403,-0.9981408563093503,-885.2387089028242,-4.552050928563738e-06,2.760527815283765e-05
left,21,0,False,659.927107533517,-0.7150636531620509,0.09070319489809531,2874.748352274059,-0.09070319489809531,-0.7150636531620509,-66.15413459418731,0.0,0.0,-1.0512414007847029,0.11719217529128646,3447.501481270976,-0.1184464879238077,-1.0183054583342086,-393.9611419008752,-1.60464712657717e-05,3.336397107566787e-05
right,21,0,False,650.3291082524939,-0.7133160961566744,0.09042668072650858,2857.450863862171,-0.09042668072650858,-0.7133160961566744,-69.35018425922225,0.0,0.0,-1.047137319284273,0.11600518595932297,3417.585587941458,-0.11666767248459305,-1.0137343579697684,-399.7693678586511,-1.669873515778719e-05,3.220075605651092e-05
left,22,0,False,605.6508434219685,-0.7263034825737256,0.08809131093140568,2864.934653441189,-0.08809131093140568,-0.7263034825737256,181.8262822813023,0.0,0.0,-1.0068940478690689,0.07897661220235744,3340.407493144185,-0.053474167089862655,-0.9163019157036583,-193.32489621959792,-3.857102888925581e-05,2.38283682246569e-05
right,22,0,False,605.592483982159,-0.7267872607450049,0.08784054868414858,2848.7296762793053,-0.08784054868414858,-0.7267872607450049,178.3490559643208,0.0,0.0,-1.0086822261435535,0.07947665372821412,3328.559610111392,-0.05500535741286811,-0.9209711825714145,-191.11727935474894,-3.75677727578449e-05,2.4842460074952335e-05
left,23,0,False,499.4914670978782,-0.7409529259925066,0.08590573667333068,2874.127476271776,-0.08590573667333068,-0.7409529259925066,506.37930860055366,0.0,0.0,-0.997015465105208,0.07953094144855323,3294.257273078058,-0.06700208601823253,-0.9085104961668853,236.22641578326233,-4.5949573351807156e-05,2.1448787782006707e-05
right,23,0,False,495.31800554060044,-0.7410551706779528,0.08192227558836096,2857.428576030971,-0.08192227558836096,-0.7410551706779528,503.01660058617864,0.0,0.0,-0.9972556157086582,0.0821455264112013,3276.3721554654417,-0.06826948988627828,-0.9131264129902118,238.7702980014119,-4.4873222632008154e-05,2.2513870000264724e-05
left,24,0,False,429.50328882606937,-0.774159575507184,0.08515324542921618,2904.553577892588,-0.08515324542921618,-0.774159575507184,931.7786708264306,0.0,0.0,-1.0106892523008046,0.06422429033059339,3303.739888257149,-0.08098823819652624,-0.9329615264244316,773.2754118371595,-4.722759695460504e-05,1.0942518847497411e-05
right,24,0,False,420.93534328231925,-0.7661397319890632,0.07255975183727567,2886.281159044092,-0.07255975183727567,-0.7661397319890632,907.6980117731623,0.0,0.0,-1.0095842797092296,0.062157651881126895,3284.754077980164,-0.0806176969191663,-0.9334905163681717,772.0300028171027,-4.591024004580719e-05,9.584300145198887e-06
left,25,0,False,364.4517694485504,-0.7899427291897657,0.06453354452564808,2932.661357903649,-0.06453354452564808,-0.7899427291897657,1211.1568719070601,0.0,0.0,-1.0039396128268676,0.04238830191656417,3293.2804685296214,-0.083351443728607,-0.9467797674710972,1158.4418069970927,-4.4242546228587956e-05,-1.3642790246783867e-06
right,25,0,False,360.2208811671443,-0.7878975725860441,0.06604054307461053,2913.3385139559787,-0.06604054307461053,-0.7878975725860441,1212.3305722347327,0.0,0.0,-1.0058977519270287,0.03649501365619591,3268.5385014235158,-0.0839403164365745,-0.9420511911855828,1152.397445742478,-4.7543698192209385e-05,-3.824989499336705e-06
left,26,0,False,323.1636639033092,-0.7888392760929694,0.04220208432440799,2945.337632345402,-0.04220208432440799,-0.7888392760929694,1520.9688406078028,0.0,0.0,-0.989642473848216,-0.008561962859747786,3265.6275199278834,-0.08107732571108464,-0.9509818599871577,1563.9696647789183,-4.6141987678583137e-05,-2.408861246190139e-05
right,26,0,False,325.0054510470413,-0.7843321798645805,0.04007556419885821,2927.0425233872884,-0.04007556419885821,-0.7843321798645805,1513.6635854305905,0.0,0.0,-0.9854039131939356,-0.014364981904875231,3247.915077021737,-0.07766807224365373,-0.9573688861771427,1565.3285908586618,-4.268042790151305e-05,-2.7664090611269015e-05
left,27,0,False,340.2755465848816,-0.5913933038429637,-0.5047285111654716,3320.9455180489977,0.5047285111654716,-0.5913933038429637,859.163821911893,0.0,0.0,-0.761223646689943,-0.5348457149827929,3629.085984430927,0.6765094886192494,-0.7884265899164323,714.8142375641928,-1.4089337172380948e-05,-3.9870153112860325e-05
right,27,0,False,350.7306951981848,-0.5826912737340362,-0.49984324819413267,3292.855922722968,0.49984324819413267,-0.5826912737340362,865.6048615734447,0.0,0.0,-0.7604809561388202,-0.532704780543584,3615.4449081195257,0.6800573322329905,-0.7889191604250738,727.9521850324093,-1.3009601589951896e-05,-3.882324509152077e-05
left,28,0,False,705.927105861958,0.05798605192050159,-0.7124588166339673,2946.3534928279764,0.7124588166339673,0.05798605192050159,-82.86803724754746,0.0,0.0,0.0006462276528912206,-0.8443869956506187,3337.13263758993,1.1573095254920667,-0.009823034791265554,-670.7664261096281,7.115174550880668e-06,-2.9458241565327628e-05
right,28,0,False,689.2211180396517,0.058388166363881146,-0.7150860076556727,2949.037546755321,0.7150860076556727,0.058388166363881146,-72.31820784469903,0.0,0.0,-0.001822739925881204,-0.8446012848132055,3336.2513589023283,1.153573366417107,-0.00993543671761678,-642.4857234886279,6.1660896431107385e-06,-2.975687662268178e-05
left,29,0,False,834.1773079467262,0.4348056609621497,-0.5173839661561613,2433.062242921008,0.5173839661561613,0.4348056609621497,-319.2191348800869,0.0,0.0,0.5570083426828986,-0.6758019178044585,2743.1104831461566,0.9324835737126531,0.5880626443682775,-1093.6360987964292,9.02494587068816e-06,-1.3470428083433271e-05
right,29,0,False,830.7474252767674,0.4271423334726293,-0.5178450679198988,2458.363154398558,0.5178450679198988,0.4271423334726293,-291.7817080844948,0.0,0.0,0.5540439508546441,-0.676454609868249,2752.5550295890093,0.9292726308435896,0.5846822284705164,-1068.6936656597652,7.823922875690543e-06,-1.449488051637077e-05
left,30,0,False,524.6764155154717,0.7146897565354531,0.005817168215678456,1532.5199813913537,-0.005817168215678456,0.7146897565354531,-213.1147908944181,0.0,0.0,0.9850154760830281,-0.06323198954222539,1637.6267969539026,0.03393102719477786,0.9839006278756687,-727.155398650528,1.618138613574749e-05,-4.2611576402827765e-06
right,30,0,False,517.5601922973068,0.7177175770075513,0.0018340497328019686,1548.20116610244,-0.0018340497328019686,0.7177175770075513,-219.73921390764087,0.0,0.0,0.990285071007454,-0.07100979753602778,1659.7624845275611,0.035229769634867514,0.9820432219568639,-725.1325993422303,1.8213239620393192e-05,-6.665137180773418e-06
left,31,0,False,621.1237671070238,0.7038237025933026,0.015108633471560336,1535.48802890308,-0.015108633471560336,0.7038237025933026,-530.8482318715454,0.0,0.0,0.9683923830406901,0.0076938878660722234,1596.936164265719,0.013581732913346712,0.9747993820749773,-1148.9248585313421,8.405234707408216e-06,9.426002400874012e-06
right,31,0,False,624.3034813017667,0.7031432393999748,0.014070457403578025,1553.208739289976,-0.014070457403578025,0.7031432393999748,-535.6465263720751,0.0,0.0,0.9770809124511121,0.015321697793458579,1608.2054359158474,0.015824584907957764,0.9788332344499527,-1157.5227585788107,9.585217955750921e-06,1.1542502711607369e-05
left,32,0,False,718.9523034447147,0.7001464901632811,-0.0029083042303481837,1549.9097085655842,0.0029083042303481837,0.7001464901632811,-856.9013931180119,0.0,0.0,1.0001783060688305,0.0003017572516809549,1572.4469419906675,0.028249899112890383,0.9665028606240059,-1575.500256268168,1.6187361809543357e-05,3.153968826373107e-06
right,32,0,False,720.3624559097293,0.6968972087830608,0.004375435320846675,1558.002747968807,-0.004375435320846675,0.6968972087830608,-836.9429934888459,0.0,0.0,0.988610655515122,-0.004634089295721481,1603.0058795927707,0.020359472501842973,0.9637975579684457,-1555.8982278413152,1.4283981325136508e-05,1.7581973628442298e-06
left,33,0,False,792.623092582963,0.6998834849202754,-0.022094717470120363,1566.1109337744103,0.022094717470120363,0.6998834849202754,-1201.159102018183,0.0,0.0,0.9864642100111847,-0.06491510273601492,1595.5794962127068,0.04046888852254702,0.9535480534463463,-1993.234112404307,1.780916846156882e-05,-2.023229184261127e-05
right,33,0,False,782.6425750590718,0.6976542914326677,-0.023232593125516232,1587.741630182708,0.023232593125516232,0.6976542914326677,-1199.9615926596161,0.0,0.0,0.9672321567607949,-0.06639879569414528,1626.345240220888,0.044366267624581505,0.9437088876764854,-1981.651445518198,1.3665680116261524e-05,-2.0143045532324794e-05
left,34,0,False,883.938928851226,0.6918838648199291,-0.048617397421526286,1633.9522707873575,0.048617397421526286,0.6918838648199291,-1531.8387220933655,0.0,0.0,1.0356599617572588,-0.0981127133855025,1577.7230752428004,0.04246203323247211,0.970350730340509,-2413.9872976142856,2.779440780969928e-05,-2.8554000913611456e-05
right,34,0,False,886.1928183606095,0.6880469428300531,-0.04812503096038686,1651.9131250619148,0.04812503096038686,0.6880469428300531,-1526.6830544067438,0.0,0.0,1.0298668869695464,-0.09780285827344075,1598.2409998954204,0.04371157079493681,0.9695810962304388,-2411.2489455105733,2.654182028389104e-05,-2.9000391798481774e-05
left,35,0,False,996.1492598179806,0.6901359061828369,-0.05523438217438203,1668.8428938066277,0.05523438217438203,0.6901359061828369,-1834.1769427876197,0.0,0.0,1.010842543101665,-0.07914630509438525,1579.5128232589257,0.06325184197180189,0.9643329883807835,-2826.312673249438,2.2175608050092197e-05,-2.6531376952972353e-05
right,35,0,False,985.262306643193,0.6905031333344194,-0.05437856374756458,1682.2019519595926,0.05437856374756458,0.6905031333344194,-1831.2407472853974,0.0,0.0,0.9843160258253278,-0.08669496062774863,1613.923583406329,0.07148659167669055,0.957388726112436,-2814.134291057356,1.6948581080533216e-05,-2.8806637262560784e-05
left,36,0,False,1096.9013325202939,0.6752001507426462,-0.06189416464805353,1700.5775940134715,0.06189416464805353,0.6752001507426462,-2117.3238853777952,0.0,0.0,1.0022000110465588,-0.10940725702106145,1603.4281082175341,0.05824911732599562,0.9726034843452911,-3209.9145283204975,2.4774820379453156e-05,-3.487521974737346e-05
right,36,0,False,1093.9779784152017,0.6723977586870824,-0.061942381367884713,1718.5829197492951,0.061942381367884713,0.6723977586870824,-2114.1032089583373,0.0,0.0,1.0153255539799106,-0.10523168326606723,1620.158794827983,0.049708899700340245,0.9692131355989407,-3203.644535007249,2.742118571524614e-05,-3.3009672276614235e-05
left,37,0,False,1190.8408330835625,0.6737033294317244,-0.06587182580035537,1729.7836127494593,0.06587182580035537,0.6737033294317244,-2411.397363003137,0.0,0.0,0.9797293498092754,-0.11615579492908844,1618.908241704755,0.07056524500190911,0.9759831713580048,-3597.065256748817,2.108939987491685e-05,-3.717856402818421e-05
right,37,0,False,1181.082656560318,0.6668939349410351,-0.0632023146731978,1747.581132309799,0.0632023146731978,0.6668939349410351,-2398.6338829983224,0.0,0.0,0.9905237073216955,-0.108209808840428,1632.2578020269518,0.05769199833733589,0.9631425583709404,-3574.072769782546,2.2657540042381423e-05,-3.412929751882421e-05
left,38,0,False,1302.860522581271,0.6741214850189823,-0.07366067564579738,1761.5955729506086,0.07366067564579738,0.6741214850189823,-2705.789842135516,0.0,0.0,1.033093902593696,-0.11133134404970985,1601.9409591252315,0.04436231785479393,0.9888990412780461,-3998.8311080514304,3.3353099203180566e-05,-3.4558248860332546e-05
right,38,0,False,1294.2005685144513,0.6713666489661776,-0.07760699548539543,1782.5046144986118,0.07760699548539543,0.6713666489661776,-2709.0149629463835,0.0,0.0,1.0067935265316037,-0.13059988140648776,1640.5988012739385,0.06166139701831841,0.9968032318449109,-3995.4121139979175,2.920955969299877e-05,-4.151268183773006e-05
left,39,0,False,1372.7059042011176,0.6525868659668814,-0.07899086821053967,1825.6577118898826,0.07899086821053967,0.6525868659668814,-2961.713465426642,0.0,0.0,0.9788121085546255,-0.10606235904716546,1647.6914035466034,0.07191553918632755,0.9519117542559161,-4322.8340683572005,2.558510972223299e-05,-3.273730259817964e-05
right,39,0,False,1367.7800807002252,0.651950943262855,-0.07829257008257114,1840.882011074698,0.07829257008257114,0.651950943262855,-2959.6819290039616,0.0,0.0,0.9792179037530634,-0.11366301131066887,1670.3864622639724,0.06812705556829113,0.9571783569788584,-4316.794089208194,2.675970194279165e-05,-3.549921833625094e-05
left,40,0,False,1436.21533673992,0.6337967312477978,-0.0883712234420208,1894.3159253078472,0.0883712234420208,0.6337967312477978,-3236.14594975979,0.0,0.0,0.9556780468025836,-0.12130843954955396,1692.625419937077,0.079166641058463,0.9301895563602401,-4658.128805108043,2.7200894306507e-05,-3.6580636141014674e-05
right,40,0,False,1430.5255895276641,0.6368377681394654,-0.08913618884550749,1906.2846271617059,0.08913618884550749,0.6368377681394654,-3237.355767468252,0.0,0.0,0.9502545860693307,-0.11498417087125355,1710.5895537858007,0.08812950978912419,0.9219988579956666,-4654.432589780221,2.476512487456359e-05,-3.4159209645093036e-05
left,41,0,False,1500.6849020294117,0.622668971469401,-0.1333908411448356,2000.6649015536836,0.1333908411448356,0.622668971469401,-3529.221235590951,0.0,0.0,0.9061225250265493,-0.1699965628807814,1794.844177796149,0.15814205930690198,0.9114789348327939,-5015.724797356355,2.1974773026140156e-05,-4.0887427078291545e-05
right,41,0,False,1484.57450599894,0.6281153302723667,-0.1365276743629981,2009.765913072556,0.1365276743629981,0.6281153302723667,-3532.8636419184413,0.0,0.0,0.8910665133555903,-0.16900188845965916,1813.2620557109503,0.1736462661306073,0.9083751598206656,-5004.375635679533,1.766539146065329e-05,-4.126570259434718e-05
left,42,0,False,1540.3625129900772,-0.011708874779188697,-0.5896752706212702,3465.0158782771364,0.5896752706212702,-0.011708874779188697,-3452.7701060235095,0.0,0.0,-0.023319768975849187,-0.7877871908835566,3653.9000573668745,0.9665031246099246,0.1240106807379128,-4981.507898619912,-3.308513166655335e-05,-5.1618680914454194e-05
right,42,0,False,1544.0144977872314,-0.013944104176492613,-0.5877310189913592,3468.0473287920954,0.5877310189913592,-0.013944104176492613,-3432.733629389387,0.0,0.0,-0.022326592958361764,-0.7846007965243545,3656.241707736162,0.9655871934187261,0.12031247069187831,-4965.2359770165995,-3.250897812071642e-05,-5.05855960233677e-05
left,43,0,False,1459.5317733456527,-0.05909880496368746,-0.5787677703731812,3728.6598740463824,0.5787677703731812,-0.05909880496368746,-3362.8378679311245,0.0,0.0,-0.09380821243055644,-0.7928367679268676,3945.248683335619,0.9334254130607409,0.10484576406262305,-4806.209644503615,-3.551342145330754e-05,-6.021370591733295e-05
