stage,points,count,rmse,mean,median,p90,p95,max
initial,all_RANSAC_inliers,686705,215.1488656845922,100.09924981790327,33.02349655160975,228.08358587357745,532.5209507704351,1317.7501376333037
initial,selected_P,19120,228.08220658549,106.45527967537859,27.54208837195888,281.6718918032614,607.2656546705306,1317.7501376333037
affine,all_RANSAC_inliers,686705,16.828045621091274,8.487812790386657,4.387739786653642,17.209826041484277,27.43561802473341,256.41806340727766
affine,selected_P,19120,31.9889858848276,20.281956541695937,11.943554927099818,48.767823449758424,70.59533575218006,254.45017000924682
projective,all_RANSAC_inliers,686705,4.522366705498424,3.091986225935659,2.0271994363434325,6.793654254097974,9.20281696020455,79.97665356820436
projective,selected_P,19120,8.777630981087285,6.633420733589452,5.154815320171926,13.6909553344501,17.563688944825202,79.97665356820436
