frame_i,frame_j,roles,relation_score,endpoint_coverage,num_verified_LL_LR_RL_RR,source
48,47,tree,4.611376294317827,4,4,sequential
48,36,loop,3.5844771691836805,3,4,retrieval
48,37,loop,3.4304464882875974,3,4,retrieval
48,35,strong,3.4905599468436668,3,4,retrieval
48,46,strong,3.355249563066474,3,4,sequential
49,48,tree,5.307437305581055,4,4,sequential
49,35,loop,4.907848404014408,4,4,retrieval
49,34,strong,3.3297295773331026,3,2,retrieval
50,49,tree,6.062492754819053,3,4,sequential
50,34,loop,4.589392103381542,4,4,retrieval
50,35,loop,3.7928125450139922,3,4,retrieval
51,50,tree,5.791121605066312,3,4,sequential
51,32,loop,4.295237124244389,4,3,retrieval
51,34,loop,3.5892240378267175,3,4,retrieval
51,49,strong,4.381343800524861,4,4,sequential
51,33,strong,3.4326708726502506,3,4,retrieval
52,51,tree,6.778921207188865,3,4,sequential
52,31,loop,4.309927204959992,4,4,retrieval
52,32,loop,3.7015265133854602,3,4,retrieval
52,50,strong,3.9321449948491036,3,4,sequential
52,33,strong,3.6095938358043984,3,4,retrieval
53,52,tree,5.200956539282825,3,4,sequential
53,30,loop,4.385702085621839,4,4,retrieval
53,32,loop,3.913084791397554,3,4,retrieval
53,51,strong,4.336663060749507,3,4,sequential
53,31,strong,3.7213093610733927,3,4,retrieval
54,53,tree,4.893980018615079,3,4,sequential
54,30,loop,4.870702311115674,4,4,retrieval
54,31,loop,4.479258441295328,4,4,retrieval
54,52,strong,3.5820324734621973,3,4,sequential
55,54,tree,5.6895891127503955,3,4,sequential
55,30,loop,4.685446413770205,4,4,retrieval
55,29,loop,4.478101414720979,4,4,retrieval
55,53,strong,3.5892256859865297,3,4,sequential
56,55,tree,7.219070417992879,4,4,sequential
56,54,strong,5.162500186108538,4,4,sequential
57,56,tree,5.136769162033032,3,4,sequential
57,55,strong,3.7934897056668544,3,4,sequential
58,57,tree,5.662681750930756,3,4,sequential
58,56,strong,3.9358260147339736,3,4,sequential
58,54,strong,3.7824500754922994,3,4,sequential
59,58,tree,5.005546828244557,3,4,sequential
59,57,strong,4.487225815832424,4,4,sequential
59,55,strong,3.4350625662125087,3,4,sequential
60,59,tree,5.107205847345117,3,4,sequential
60,50,loop,3.3981619219630326,3,4,retrieval
60,58,strong,3.364660684680097,3,4,sequential
61,60,tree,6.614223519511104,3,4,sequential
61,51,loop,4.968203437625756,3,4,retrieval
61,50,loop,3.8837807049348467,3,4,retrieval
61,59,strong,3.825406413131055,3,4,sequential
62,61,tree,7.8709841548339785,3,4,sequential
62,49,loop,4.504421466243591,4,4,retrieval
62,52,loop,4.485838334739278,4,4,retrieval
62,60,strong,4.020719284759711,3,4,sequential
62,50,strong,4.014090318932155,3,4,retrieval
63,62,tree,5.965285194467458,3,4,sequential
63,49,loop,3.8441664750034947,3,4,retrieval
63,50,loop,3.6936666365937953,3,4,retrieval
63,61,strong,3.882985598289231,3,4,sequential
64,63,tree,7.5525383930722905,4,4,sequential
64,49,loop,3.853907984251828,3,4,retrieval
64,48,loop,3.509099050688557,3,4,retrieval
64,47,strong,4.3898199079005495,4,4,retrieval
64,62,strong,3.47435460741559,3,4,sequential
65,64,tree,5.3614191777671,4,4,sequential
65,47,loop,4.456574741801457,4,4,retrieval
65,48,loop,3.4165336888193054,3,4,retrieval
65,46,strong,2.1819565972715624,2,1,retrieval
66,65,tree,4.21445512543037,3,4,sequential
66,47,loop,4.320758124204021,4,4,retrieval
66,46,loop,3.2258282606382487,3,4,retrieval
66,64,strong,3.492116992397649,3,4,sequential
67,66,tree,4.138013092043532,3,4,sequential
67,46,loop,4.585598501325642,4,4,retrieval
67,45,loop,3.4383607910418053,3,4,retrieval
67,65,strong,3.504561914722271,3,4,sequential
68,67,tree,4.456248403449148,3,4,sequential
68,45,loop,3.6864916176165314,3,4,retrieval
68,44,loop,3.5357665467164217,3,4,retrieval
68,66,strong,3.3722927045906697,3,4,sequential
69,68,tree,4.366392818571658,3,4,sequential
69,44,loop,3.551709025109335,3,4,retrieval
69,67,strong,4.251182856130908,4,4,sequential
69,45,strong,2.233289737782317,2,1,retrieval
