camera,frame,component,is_reference,a,b,c,d,e,f,g,h
right,18,0,False,-0.8370859884789883,0.3913174149698255,3276.070716577549,-0.3429153329108361,-0.9319421661865324,-1129.9648118475118,-1.2633476787262651e-05,0.00014090307292329856
left,19,0,False,-0.8612246511391585,0.36839504607778684,3300.019658106276,-0.3591924178852339,-0.921331703915119,-860.1490071452233,-9.07925653618041e-06,0.00012760021579669126
right,19,0,False,-0.8557368457122787,0.38136912822609087,3293.815133367592,-0.37684652253620465,-0.9377080155313071,-857.8933236734607,-2.1438466657614135e-06,0.0001329612731892571
left,20,0,False,-0.9367851200524385,0.13676709730093137,3011.4284915550106,-0.007481935618136826,-0.8251263590365214,-846.4273273317342,-4.503856747360352e-05,0.0001484638667221397
right,20,0,False,-0.9134389589608856,0.293095297085954,3017.8352952964815,-0.019580241868782072,-0.8056798111374265,-797.7506209494577,-4.956520376130793e-05,0.0001749416752832651
left,21,0,False,-0.9748237520655613,0.09080225982220169,3140.9967378724195,-0.011448751745804208,-0.8135428459484645,-487.44529667920153,-4.63658025133577e-05,0.00012245090593938888
right,21,0,False,-0.9626901576691195,0.24974204760719398,3111.7904296708894,-0.02450277020864196,-0.8051636412469045,-451.3370410314637,-5.168995865190029e-05,0.00015105097149863868
left,22,0,False,-0.946867128626236,0.04915317249617497,3160.279488608298,0.006279583175560618,-0.7530399186823998,-307.1114277944843,-4.899779377201795e-05,0.00010163452170727257
right,22,0,False,-0.9466800101449214,0.2043043415782549,3121.6211906737135,-0.005270315610515323,-0.7547002359367746,-277.73593222633184,-5.3925925997291666e-05,0.00013236325786190382
left,23,0,False,-0.9522561622678273,0.13008534589635726,3136.731652794742,-0.020053770520824143,-0.8360022722712646,121.41532834765904,-5.9490513936149295e-05,7.547855191597273e-05
right,23,0,False,-1.1040312008784967,0.4349805316583029,3603.593411123335,-0.13159811190836926,-0.9682719409171989,359.52986011694003,-3.141314200263178e-05,0.0002837096155040575
left,24,0,False,-0.9873610001208034,0.10625736184897783,3213.9509515826944,-0.03271017600521611,-0.8700014620426585,620.454735851391,-5.834257767040412e-05,6.320601366495134e-05
right,24,0,False,-1.0009620549773164,0.10707817970593672,3259.9614672947705,-0.09008511282971648,-0.8740608904527464,767.0178443572845,-4.882475478452856e-05,4.234029076010531e-05
left,25,0,False,-1.0228239166864423,0.07310396563633043,3335.9769219865507,-0.07739172817000448,-0.9179544928631261,1130.2886457038267,-4.45499077759972e-05,3.2383877935718446e-05
right,25,0,False,-0.9923483259384213,0.11886168110319405,3256.9230691494513,-0.12703583625416418,-0.9220103830121785,1220.3748754058006,-4.488311245187259e-05,3.666209036271628e-05
left,26,0,False,-1.0006458908140958,0.06423206675944125,3278.554431026745,-0.11595695495994461,-0.9322967767330188,1623.0035202300633,-4.7594726494132206e-05,1.4266032547345153e-05
right,26,0,False,-1.007184351898948,0.036535689619825715,3267.351315020883,-0.08235684865703913,-0.9311492277172371,1546.9692499588662,-5.111637117107569e-05,7.615280727187885e-06
left,27,0,False,-0.7801058167177899,-0.4930612348765879,3557.6890738334623,0.6004632466709903,-0.7655193534471166,782.3236207973285,-4.179774698920292e-05,-2.6538322510161568e-05
right,27,0,False,-0.7793398930266703,-0.4932527610902491,3542.2745741606323,0.6034893411156222,-0.7691671100238797,795.7492825944382,-4.041766743271713e-05,-2.8226215721076592e-05
left,28,0,False,-0.008829958719703478,-0.8486557563412533,3240.4257377649715,1.0872560394682482,-0.07528701777298924,-520.649650111905,-1.2589863809318943e-06,-5.818170025632382e-05
right,28,0,False,-0.006741299350311925,-0.8503342210512135,3238.266490781663,1.0846226219420365,-0.07611954404637764,-493.1633374619033,-1.6798106474022193e-06,-5.85242867715615e-05
left,29,0,False,0.6296453936085391,-0.7398253602747648,2693.1876293014616,0.9698699840204189,0.48421988348415396,-983.4468629786053,4.693736252781122e-05,-5.917131446203965e-05
right,29,0,False,0.6263405551796772,-0.73931411298233,2696.564057060624,0.9619882046698167,0.47883848334556334,-950.5781381449225,4.5254402002982285e-05,-6.107173395181874e-05
left,30,0,False,1.1740640117753318,-0.12225588854770922,1613.5451141095086,0.15607644787484568,0.9734794441545404,-782.3643841482432,9.82925982239056e-05,-3.727983370910247e-05
right,30,0,False,1.2282167174997067,-0.0976760180226782,1598.3192453889897,0.12856702432804384,0.9923502594968423,-805.8661333259614,0.00011352787627494651,-3.2888520882305734e-05
left,31,0,False,1.1108405340042544,-0.12100288339028817,1633.2787223018004,0.13934362822946605,0.9303377218853913,-1165.734425837565,8.48105819123155e-05,-4.172130275286017e-05
right,31,0,False,1.0872480762778864,-0.1270559234550154,1672.124856947318,0.1564559883299573,0.9293767657683558,-1201.2637691913583,7.92439887283627e-05,-4.197194407051728e-05
left,32,0,False,1.099817591608592,-0.16248963611701708,1643.4023238861043,0.11984116724447642,0.8922827310453769,-1546.669553948014,9.748712940609657e-05,-6.453154249246593e-05
right,32,0,False,1.0939041587935383,-0.18061348863491788,1678.2119356483054,0.15081082818865113,0.8850804472939172,-1529.7466553492575,9.351025371219172e-05,-6.717667455643646e-05
left,33,0,False,0.9474064744628113,-0.23957335680017544,1784.6298441727072,0.1933440987765372,0.8261217755857968,-1893.6388687922395,6.360064463515622e-05,-8.122236731069065e-05
right,33,0,False,0.933622396016737,-0.21435921295065902,1795.4813117480792,0.18395235466777335,0.8115511119990569,-1844.2409545567075,6.0827867665891317e-05,-7.513523856944146e-05
left,34,0,False,0.9350327702504458,-0.2931948261905403,1783.3620919383332,0.15553386472322223,0.797117896390873,-2136.329167725146,7.618308342844765e-05,-0.00010762309880296145
right,34,0,False,0.9793324512913752,-0.2779738132354321,1779.0800855087443,0.17341323129502315,0.8043538183697257,-2133.2577097237067,8.16778462689626e-05,-0.00010076297410265842
left,35,0,False,0.8233659302117012,-0.23819896702802962,1856.4301819676682,0.21826639303697556,0.7608193162791329,-2427.8058825805406,4.310504919346719e-05,-8.61151197346154e-05
right,35,0,False,0.8566598546334303,-0.24909626734289533,1854.756122280861,0.20885012201379638,0.776076652516537,-2428.420233866448,5.213054570059112e-05,-8.964563608144449e-05
left,36,0,False,0.8378443501063182,-0.35858968633430993,1880.6301896396558,0.10735125992373071,0.7558870895584171,-2536.321424491718,7.079556270695163e-05,-0.00013255989185438142
right,36,0,False,0.8756125806107062,-0.34684752860980333,1876.6851026100312,0.14705314697742058,0.7698929349626807,-2570.3866401509317,7.380096412154046e-05,-0.00012660187742944754
left,37,0,False,0.7857995206446182,-0.38292686070490917,1930.2794491086327,0.10208020255495824,0.7419346056918871,-2707.515257975363,6.659394165713395e-05,-0.00014150247562502418
right,37,0,False,0.8144274186639975,-0.3736731103253681,1929.5805948704624,0.14788085217594918,0.7549469985816251,-2754.7191955453945,6.724475006973749e-05,-0.00013637198026284457
left,38,0,False,0.747993678903965,-0.43120463276639576,1982.3384420744128,0.12017272287370678,0.7617378909205279,-2880.0754826187394,6.40191573757731e-05,-0.0001588194635197452
right,38,0,False,0.7691080384142565,-0.39037001234155,1983.5816389473264,0.07716441595779665,0.7256275532373312,-2854.873150561983,7.230442264616914e-05,-0.00014350453349161528
left,39,0,False,0.6971774399450398,-0.3983021720236357,2031.4116521348685,0.08620712057854672,0.6927060332138107,-2965.07141849025,6.29955922969269e-05,-0.00014611006103017245
right,39,0,False,0.6668232548151602,-0.4081792964696063,2052.164891282844,0.09618741943356994,0.6963805841395424,-2941.8609899987646,5.517121714622057e-05,-0.00015043867792322553
left,40,0,False,0.6328527275126696,-0.40660873842973533,2091.8833364458746,0.07816907509820864,0.674393536074972,-3057.088392882669,5.6852621940893355e-05,-0.00014927774142029965
right,40,0,False,0.6117521184790131,-0.4495226364164113,2121.733664554816,0.10312579262745644,0.7076515462115439,-3054.6193190579306,5.2153807617300855e-05,-0.00016566735041947128
left,41,0,False,0.529490696928418,-0.4123326790645964,2175.4916795598756,0.13863667855105014,0.6215020083248257,-3124.019019885639,3.535577166674129e-05,-0.00014505754670409536
right,41,0,False,0.4776398290652565,-0.4787512886316628,2264.7032074416775,0.1355904323060405,0.6308840887601056,-3035.1476019973015,2.6931301242614868e-05,-0.00016190597070740132
left,42,0,False,-0.36542499045307086,-0.43457451719351453,3072.889259088709,0.6450062680344069,0.021152188049492947,-2758.2345462182875,-0.00014926959892217617,-5.655503572758304e-05
right,42,0,False,-0.3292606243281703,-0.4580649408050658,3076.459858732809,0.6182193797696797,0.041991874179060855,-2779.8600664856167,-0.0001359698129283787,-6.191686561405504e-05
left,43,0,False,-0.4404668394092139,-0.41549362395652045,3397.289271915004,0.6720913614543957,-0.05582041293797934,-2767.9356419898,-0.0001503928894574359,-3.7125945891641774e-05
right,43,0,False,-0.42813402265791567,-0.4441505213826793,3399.95847065198,0.6639841359828271,-0.03687658490887885,-2759.2159930898965,-0.00014560691205575704,-4.709518954669116e-05
left,44,0,False,-0.7690208810865549,0.45839642283985416,3930.7171111527314,-0.038402837613735356,-0.7841044387884826,-1695.953517709872,-8.036271103437107e-05,0.00016367073832732274
right,44,0,False,-0.7880300145142753,0.4438412324838206,3891.8802179744607,-0.014046615247150304,-0.7636805326349665,-1698.4190570139995,-9.172556697631623e-05,0.00015735253216927643
left,45,0,False,-0.761958902976074,0.5927057158760062,3948.0547905634307,-0.14095484799732147,-0.6926550786278253,-1222.7879330744124,-8.393778747043476e-05,0.00017633437152641136
right,45,0,False,-0.7992079911757431,0.48097064105078896,3803.165163095884,-0.011575871948569244,-0.7192946569675871,-1502.4050998987188,-9.809115729140766e-05,0.0001671226633485321
left,46,0,False,-0.8331602674411998,0.4030924759692766,4005.8481948126514,-0.11890943811601233,-0.7492852777658725,-1144.6530267718113,-8.298353985952738e-05,0.00013459223279651007
right,46,0,False,-0.8187849118214798,0.4199354650808376,4035.0197346616455,-0.1472177893590637,-0.7752311239083736,-1139.2028241633764,-7.100430813790283e-05,0.0001416337274600565
left,47,0,False,-0.8234313467838263,0.5052076596496532,4011.348557189749,-0.17433022510477536,-0.678968514314427,-801.2987097468832,-8.77502081655388e-05,0.0001488667452791595
right,47,0,False,-0.868201399456939,0.4008297543441884,3915.1748695510664,-0.02716077112983575,-0.7079188489927493,-1082.8061368918554,-0.00010527660399716776,0.00014261465564981287
left,48,0,False,-0.8803562631734297,0.28314458607358967,4086.733603124067,-0.13842364757765885,-0.7114595400791484,-607.6832001154711,-8.806425878320334e-05,9.731630810252764e-05
right,48,0,False,-0.8738479021759832,0.28284249577349646,4104.965812210387,-0.15029217453405555,-0.7193808641401962,-612.711720721074,-8.156490006355801e-05,9.866285615143033e-05
left,49,0,False,-0.947102397912359,0.2887401631589452,3930.247678993122,-0.07083552158931065,-0.6398506964904825,-459.87402591429463,-0.00013553472993994853,9.855084606859914e-05
right,49,0,False,-0.912562343677066,0.318763586071212,4015.155381774278,-0.13558583443514072,-0.6531843630835786,-329.6807594395986,-0.00011002517049556682,0.00010450524155911584
left,50,0,False,-0.9651086689860374,0.24808763919813723,4079.4042109801862,-0.12271098137450387,-0.672125310807158,-70.30985187682046,-0.00012242728312460916,7.41058967438564e-05
right,50,0,False,-0.9616682771411642,0.2756763042977697,4079.8214612357074,-0.11187885046425397,-0.6641313011566132,-87.33798777441788,-0.00011858890536499193,8.652703865647613e-05
left,51,0,False,-0.9781435274809878,0.24262265610796332,4095.27805635002,-0.110346539880753,-0.6532146312964596,196.45626867430326,-0.00012266473740741364,8.168058837257331e-05
right,51,0,False,-1.0045611280763518,0.1792320033833359,3985.0890955638156,-0.04302643099949176,-0.6311947298665961,40.338710747200246,-0.00014804884449842165,6.596582793230511e-05
left,52,0,False,-1.020930310721095,0.16906079609007488,4140.766162484404,-0.08414860586147756,-0.6728073520459602,417.6607090769312,-0.00013135025368678937,5.600980046536467e-05
right,52,0,False,-1.0116879693750291,0.14124616370971754,4102.223335499929,-0.09827696981396068,-0.6762147300922267,434.93328255620446,-0.0001318516627523779,4.338836639390236e-05
left,53,0,False,-1.0311167728934734,0.13622385242906535,4111.819071235721,-0.06342537589438182,-0.6707133126049561,628.465554649387,-0.00014017600275170158,5.2038424561309854e-05
right,53,0,False,-1.0360019019147904,0.15515422575268087,4147.4133929217705,-0.09039333591998232,-0.6853841725316379,729.1170222297161,-0.00013364816859173022,5.628823644448567e-05
left,54,0,False,-1.0022278500017345,0.06499751680195857,4219.241968409159,-0.11034545969209707,-0.7379726657473982,1147.5927211621383,-0.00011407176507323358,2.841493395783061e-05
right,54,0,False,-1.0116456003009038,0.04267445247635243,4172.8505201301805,-0.08414171669870593,-0.7191874325157084,1032.4905659905266,-0.0001225352517673106,2.3417849224074823e-05
left,55,0,False,-1.0062836856222066,0.026925962599159154,4193.336739471241,-0.14585025527207035,-0.7375466833243532,1504.0433595837162,-0.00011957542000930294,8.224362839003768e-06
right,55,0,False,-0.9935483021934167,0.011830726398491864,4225.61467644222,-0.1286819279359463,-0.7549616137242571,1504.8395554781312,-0.00010877298965335338,7.328186254876478e-06
left,56,0,False,-0.19517055627043023,-0.8223736300096318,4183.112380719556,0.8254083956604835,-0.2670799394757764,-93.77755242078379,-2.5313066704485912e-05,-9.673965995410635e-05
right,56,0,False,-0.2102646718803909,-0.8320606054061584,4163.880804980412,0.8051651418034651,-0.2780654381587139,-44.18096913159674,-2.6998727960745572e-05,-0.00010544346975544384
left,57,0,False,0.09828903975312446,-0.8758645780216956,4138.435556071636,0.8608732452630097,-0.07136918325289793,-315.92287977715444,9.417049233150483e-06,-0.00011419217906269815
right,57,0,False,0.1030804490187253,-0.8907696953547286,4126.736604144471,0.8498096512375561,-0.08682563079004932,-264.24164060325984,1.3990815270077754e-05,-0.00012275686925935798
left,58,0,False,1.2143778022993552,-0.34413135571271725,3145.7041566640823,0.4633670064556193,0.7702690255828928,-683.1459639866812,0.00015700986942520387,-5.9775040866833364e-05
right,58,0,False,1.2154942842717558,-0.3347097450981934,3146.964009089032,0.42443573147726465,0.766173029629732,-714.9433826487638,0.00016242126472809044,-5.9233689134272454e-05
left,59,0,False,1.327891339215833,-0.05041983765083237,2916.4263568427177,0.15471513748003154,0.8826485852741361,-724.0882900047017,0.00017201094036101155,-2.6020821420694025e-05
right,59,0,False,1.543839790108547,-0.030782678993171705,2923.190392957505,0.18523229776151426,0.9014732699744925,-743.7029161635323,0.00022801663856002053,-1.977780680522418e-05
left,60,0,False,1.4455232444712758,-0.164831679029693,2946.527324404709,0.18371788777876372,0.8368380189145725,-1099.89304676758,0.0002121901245429553,-5.3091353519368934e-05
right,60,0,False,1.265000084098456,-0.1555629674548099,2959.135785905089,0.15373543847288731,0.8252122601088493,-1071.099892546878,0.00016443547871095664,-5.200310952216677e-05
left,61,0,False,1.2136663669176764,-0.2058472119357004,2956.100882030955,0.14830172932593733,0.7904299318070753,-1363.3626173728921,0.0001566446641546594,-6.533427107577054e-05
right,61,0,False,1.4143796400062516,-0.21149039991576474,2968.7024086434685,0.17385227027186165,0.804227051535769,-1387.8223024181027,0.0002091863338311618,-6.573291286478935e-05
left,62,0,False,1.2665958399085493,-0.20954643558016278,2903.8832321258137,0.05612344964683837,0.7535767673000116,-1596.039178316727,0.00018552550328980813,-7.494588744747208e-05
right,62,0,False,1.2786604481765655,-0.17245227310928107,2941.5225047373488,0.07501314211426888,0.7803621550267391,-1663.5174953340647,0.00018710071472485164,-5.9165947818618675e-05
left,63,0,False,1.2624741949997809,-0.35912829439640476,3020.3569012397666,0.15856237691844294,0.7374234394175077,-1894.9581611563906,0.00018650894695608093,-0.00010322234039447625
right,63,0,False,1.2480912388337657,-0.24358880334220595,2910.878032325016,0.050339225037379476,0.7374693022658204,-1850.7295516556105,0.00018608397249946545,-8.483283569876472e-05
left,64,0,False,1.0846244138324899,-0.39090021584221246,2984.6469247738773,0.045242734038910694,0.6690372158924,-1946.1893835373778,0.00015892156037767305,-0.00011951502662941045
right,64,0,False,1.193272866606139,-0.25833202242994485,2964.075550799101,0.06594308171273397,0.7447837332568382,-2178.5870410236294,0.00017617598419696423,-8.170033920121352e-05
left,65,0,False,0.9813261245826482,-0.4396773881188994,3021.084525828554,0.05690445127618063,0.6463560186656186,-2118.440186145172,0.00014159875734489342,-0.0001316766796141849
right,65,0,False,1.006982941768172,-0.3254439560559661,2901.6799527865087,0.03925487584816824,0.7170068249643323,-2292.936020683779,0.00013421600173977422,-0.00011130170826987427
left,66,0,False,0.9195961800723562,-0.44264114814775923,3040.00880674712,0.06336118953643186,0.6282774675950701,-2294.585378198113,0.00013207953641320125,-0.00013215207257930042
right,66,0,False,1.0377151310259354,-0.3888669620986362,3022.136058067963,0.0950317307337456,0.712402206833099,-2614.9873317605143,0.00015139008809764945,-0.00011501975859660344
left,67,0,False,0.836416641179427,-0.497561148539311,3074.4675758370795,0.07615145855325181,0.6124775238632054,-2407.4934583382906,0.00011865212799681744,-0.00014617099901823735
right,67,0,False,0.8358367477714683,-0.48230457393471077,3081.234036337309,0.07487590463906545,0.6131723147435485,-2414.2469608493793,0.00011828945775425523,-0.0001421103210445496
left,68,0,False,0.7858944447596122,-0.49553103134577386,3101.141374268164,0.06211023073751109,0.5878632456686977,-2508.9302795599165,0.00011250008697743544,-0.00014480137898322128
right,68,0,False,0.8478895610944839,-0.454661217796493,3092.483702766397,0.12664442301151724,0.6738240541490995,-2913.836322154525,0.000118806270868318,-0.00013177054093583678
left,69,0,False,0.6626043044948429,-0.5121646268717803,3147.713897817493,0.08840536130104856,0.547188836555678,-2546.5857966914427,8.972654344928128e-05,-0.00014836618552797664
right,69,0,False,0.6401187056633436,-0.45207398876204086,3088.8003840844126,0.05647029676621675,0.5432901680166017,-2524.7935015819944,8.344015225983658e-05,-0.0001398076037789222
