query_frame,query_position,frame,position,votes,score,weighted_score
48,48,24,24,1,0.001,4.84507275648854e-06
48,48,35,35,1,0.001,4.652874297567218e-06
48,48,14,14,1,0.001,4.095403846002892e-06
49,49,35,35,11,0.011,9.490791193014836e-05
49,49,34,34,4,0.004,2.2588646593491512e-05
49,49,1,1,2,0.002,1.0499655369131992e-05
49,49,20,20,1,0.001,5.862707968489875e-06
49,49,21,21,1,0.001,5.575553155569517e-06
49,49,7,7,1,0.001,4.895260478575968e-06
49,49,10,10,1,0.001,4.393578126935797e-06
50,50,34,34,9,0.009,5.28082554502983e-05
50,50,35,35,2,0.002,1.2827153327470775e-05
50,50,33,33,2,0.002,1.1890149196807081e-05
50,50,4,4,2,0.002,8.671988211139433e-06
50,50,8,8,1,0.001,5.541888813386413e-06
50,50,28,28,1,0.001,4.8962578232929404e-06
50,50,32,32,1,0.001,4.693129086861493e-06
50,50,25,25,1,0.001,4.532549356586637e-06
51,51,33,33,5,0.005,3.326204496229847e-05
51,51,31,31,3,0.003,1.808862321873141e-05
51,51,17,17,2,0.002,1.0507809010395479e-05
51,51,26,26,2,0.002,9.740715050402286e-06
51,51,32,32,1,0.001,8.10440900070574e-06
51,51,11,11,1,0.001,4.770403906770312e-06
51,51,29,29,1,0.001,4.7253471071106795e-06
51,51,34,34,1,0.001,4.4535147884291286e-06
51,51,22,22,1,0.001,4.237097994032371e-06
52,52,32,32,15,0.015,8.482380337326003e-05
52,52,31,31,9,0.009,5.9457757985224835e-05
52,52,33,33,3,0.003,2.290947460621463e-05
52,52,18,18,2,0.002,1.0634922775531307e-05
52,52,27,27,1,0.001,4.887945160356512e-06
53,53,31,31,15,0.015,9.043127209438045e-05
53,53,30,30,9,0.009,5.282900553485234e-05
53,53,32,32,2,0.002,1.0713613502803685e-05
53,53,24,24,2,0.002,1.0235624072833405e-05
53,53,39,39,2,0.002,9.483401293924913e-06
53,53,29,29,1,0.001,5.252329543591132e-06
54,54,30,30,16,0.016,0.00010037383951776349
54,54,5,5,1,0.001,5.5319584334517346e-06
54,54,3,3,1,0.001,5.311040592468855e-06
54,54,25,25,1,0.001,5.133067239029929e-06
54,54,31,31,1,0.001,4.5014457642266976e-06
54,54,34,34,1,0.001,4.354127346442394e-06
55,55,29,29,10,0.01,7.31059370209679e-05
55,55,30,30,4,0.004,2.7847060181564562e-05
55,55,9,9,1,0.001,5.478321120682873e-06
56,56,29,29,4,0.004,2.2045555589672725e-05
56,56,18,18,1,0.001,5.137129491183303e-06
56,56,16,16,1,0.001,4.799877050421872e-06
56,56,32,32,1,0.001,4.526462615542955e-06
57,57,29,29,1,0.001,5.083154253819727e-06
57,57,35,35,1,0.001,4.923062845626053e-06
57,57,44,44,1,0.001,4.686990860656237e-06
58,58,4,4,2,0.002,9.29518290684424e-06
58,58,33,33,2,0.002,8.57009288230896e-06
58,58,1,1,1,0.001,5.124433008661724e-06
58,58,29,29,1,0.001,4.99931266105269e-06
58,58,27,27,1,0.001,4.853682582955829e-06
59,59,37,37,4,0.004,1.6554927682588843e-05
59,59,8,8,1,0.001,4.314234169599931e-06
59,59,49,49,1,0.001,4.258404622705725e-06
59,59,43,43,1,0.001,3.632283189613912e-06
60,60,32,32,2,0.002,9.67089141862642e-06
60,60,6,6,1,0.001,5.630163127570552e-06
60,60,50,50,1,0.001,5.466358253304078e-06
60,60,12,12,1,0.001,4.328760977127854e-06
61,61,51,51,8,0.008,5.333438873253095e-05
61,61,50,50,6,0.006,3.846182444114367e-05
62,62,50,50,13,0.013,8.347276967333775e-05
62,62,49,49,6,0.006,2.9796572691981888e-05
62,62,51,51,3,0.003,2.0092185470920154e-05
62,62,46,46,3,0.003,1.4247431670661995e-05
62,62,52,52,2,0.002,1.5416280311676427e-05
62,62,21,21,1,0.001,5.187618144253737e-06
62,62,31,31,1,0.001,4.3777199406227475e-06
63,63,50,50,13,0.013,7.714262589159669e-05
63,63,49,49,10,0.01,6.541081006210752e-05
63,63,2,2,2,0.002,1.0276059916647828e-05
64,64,49,49,6,0.006,4.1285241350989685e-05
64,64,48,48,6,0.006,3.3227765582417664e-05
64,64,50,50,1,0.001,5.902916196364781e-06
64,64,8,8,1,0.001,4.930177732463972e-06
64,64,0,0,1,0.001,4.786058711475562e-06
64,64,54,54,1,0.001,4.523914510297141e-06
64,64,47,47,1,0.001,4.2315557555176786e-06
65,65,47,47,10,0.01,8.381587690100699e-05
65,65,46,46,4,0.004,2.3265227651557814e-05
65,65,45,45,3,0.003,1.7430077967149932e-05
65,65,36,36,2,0.002,1.186039671279297e-05
65,65,48,48,1,0.001,1.1422046008077975e-05
66,66,46,46,3,0.003,1.4231475146043008e-05
66,66,47,47,2,0.002,1.225337426547138e-05
66,66,22,22,2,0.002,8.635362174289885e-06
66,66,37,37,1,0.001,4.747340428039958e-06
66,66,15,15,1,0.001,4.372109635871195e-06
66,66,21,21,1,0.001,4.327787918076465e-06
66,66,39,39,1,0.001,4.250089087503623e-06
66,66,14,14,1,0.001,4.136931559580283e-06
67,67,45,45,3,0.003,1.3643325702590776e-05
67,67,46,46,2,0.002,9.899382476053966e-06
67,67,44,44,1,0.001,4.93161646393568e-06
67,67,42,42,1,0.001,4.312588982509731e-06
68,68,44,44,7,0.007,3.95400950079305e-05
68,68,45,45,3,0.003,2.1067623896780325e-05
68,68,28,28,2,0.002,9.14093144670329e-06
68,68,56,56,1,0.001,4.496346526691496e-06
68,68,24,24,1,0.001,4.244763558055392e-06
68,68,46,46,1,0.001,3.9128231257525345e-06
69,69,44,44,10,0.01,6.35988249864552e-05
69,69,45,45,1,0.001,5.480871697523522e-06
69,69,15,15,1,0.001,4.535952190245034e-06
