camera,frame,path,bytes,mtime_ns,height,width,sift_features,sift_extractions
right,58,data/right/000058_DJI_20260731151514_0060_V.png,12592710,1788359782638050200,1978,2640,10000,1
left,59,data/left/000059_DJI_20260731151516_0061_V.png,12466386,1788359784083640700,1978,2640,10000,1
right,59,data/right/000059_DJI_20260731151516_0061_V.png,12480481,1788359784279116700,1978,2640,10000,1
left,60,data/left/000060_DJI_20260731151518_0062_V.png,12511132,1788359785767045800,1978,2640,10000,1
right,60,data/right/000060_DJI_20260731151518_0062_V.png,12522628,1788359785945724400,1978,2640,10000,1
left,61,data/left/000061_DJI_20260731151519_0063_V.png,12298080,1788359787432347900,1978,2640,10000,1
right,61,data/right/000061_DJI_20260731151519_0063_V.png,12311210,1788359787616149800,1978,2640,10000,1
left,62,data/left/000062_DJI_20260731151521_0064_V.png,11650099,1788359789035846600,1978,2640,10001,1
right,62,data/right/000062_DJI_20260731151521_0064_V.png,11664403,1788359789192929700,1978,2640,10000,1
left,63,data/left/000063_DJI_20260731151523_0065_V.png,11518643,1788359790545676900,1978,2640,10001,1
right,63,data/right/000063_DJI_20260731151523_0065_V.png,11532729,1788359790695597900,1978,2640,10000,1
left,64,data/left/000064_DJI_20260731151525_0066_V.png,11395267,1788359792054395500,1978,2640,10001,1
right,64,data/right/000064_DJI_20260731151525_0066_V.png,11406835,1788359792206594100,1978,2640,10000,1
left,65,data/left/000065_DJI_20260731151526_0067_V.png,11521698,1788359793562179200,1978,2640,10000,1
right,65,data/right/000065_DJI_20260731151526_0067_V.png,11530513,1788359793718612000,1978,2640,10000,1
left,66,data/left/000066_DJI_20260731151528_0068_V.png,11805234,1788359795062802200,1978,2640,10000,1
right,66,data/right/000066_DJI_20260731151528_0068_V.png,11813377,1788359795213873900,1978,2640,10000,1
left,67,data/left/000067_DJI_20260731151530_0069_V.png,12318463,1788359796577729800,1978,2640,10000,1
right,67,data/right/000067_DJI_20260731151530_0069_V.png,12322837,1788359796738471000,1978,2640,10000,1
left,68,data/left/000068_DJI_20260731151532_0070_V.png,12236311,1788359798129715100,1978,2640,10000,1
right,68,data/right/000068_DJI_20260731151532_0070_V.png,12240285,1788359798286269900,1978,2640,10000,1
left,69,data/left/000069_DJI_20260731151534_0071_V.png,12433988,1788359799649901100,1978,2640,10001,1
right,69,data/right/000069_DJI_20260731151534_0071_V.png,12442581,1788359799814520000,1978,2640,10000,1
