key_i,key_j,roles,provenance,raw_matches,ratio_matches,ransac_inliers,inlier_ratio,mean_reproj_error,coverage_i,coverage_j,quality_score,selected_matches,observation_index
left:28,right:28,intra_pair,intra_pair,10002,8030,7984,1.0,0.07081146666299626,0.9818768836201675,0.9819055794197498,124.58933398644331,40,28
left:29,right:29,intra_pair,intra_pair,10000,8028,7977,0.9997493420228099,0.0713780132946898,0.9815824436736705,0.9815445906172554,123.51559080122846,40,29
left:30,right:30,intra_pair,intra_pair,10000,8011,7962,0.999874419188748,0.0678191242877516,0.9757045330492172,0.9757373074652657,129.21275266040527,40,30
left:31,right:31,intra_pair,intra_pair,10000,8062,8019,1.0,0.07192329053194038,0.9809751458949605,0.9809541864924566,122.60778112545849,40,31
left:32,right:32,intra_pair,intra_pair,10001,7902,7854,0.9998726925525143,0.07654007350837085,0.9692623468688202,0.9693147006875646,113.56145573260179,40,32
left:33,right:33,intra_pair,intra_pair,10000,7858,7801,0.9998718277364779,0.07332888696580894,0.9517395075011871,0.9517049460828857,116.29931137600836,40,33
left:34,right:34,intra_pair,intra_pair,10000,7965,7914,0.9998736576121289,0.06839050727245437,0.9788496558990417,0.9788439573832493,128.45889304715269,40,34
left:35,right:35,intra_pair,intra_pair,10000,7956,7891,0.9997466109210693,0.07151536252602,0.9776430771545448,0.9776749402902509,122.63990208242893,40,35
left:36,right:36,intra_pair,intra_pair,10000,7987,7908,0.999620781190747,0.07381310827065247,0.9733272353069057,0.9733218967646852,118.31054663741746,40,36
left:37,right:37,intra_pair,intra_pair,10001,8088,7992,0.9982513115163627,0.07836941774577116,0.9717759890112911,0.9717658404520282,111.23239938921283,40,37
left:38,right:38,intra_pair,intra_pair,10000,8085,7974,0.9986224170319349,0.07822205304100228,0.9596825659515401,0.9596470026848262,110.06545624918078,40,38
left:39,right:39,intra_pair,intra_pair,10000,8074,7969,0.9989971167105428,0.07445890663122816,0.9726037218474409,0.9725741124096856,117.22145655135895,40,39
